exp_name,Batch,test_loss,mean_length,n_samples,uniq_samples,ratio_of_steps,melodicity,tonality,model_samples,neg-loglike,D_loss_0,Accuracy_0,D_loss_1,Accuracy_1,D_loss_2,Accuracy_2
music80_06_ratio-of-steps,44,8.158758163452148,197.326875,6400,6377,0.4442377586537073,0.08735613264423436,0.04038180776088452,music80_06_ratio-of-steps_44,1295.788330078125,0.0011400540824979544,1.0,0.0011113937944173813,1.0,0.0011329756816849113,1.0
music80_06_ratio-of-steps,45,8.165054321289062,197.445625,6400,6380,0.44627466285430745,0.08664757256081444,0.039339948368627774,music80_06_ratio-of-steps_45,1523.7030029296875,0.0010988966096192598,1.0,0.0010478683980181813,1.0,0.0013148909201845527,1.0
music80_06_ratio-of-steps,46,8.1593656539917,200.2484375,6400,6376,0.4539600848062582,0.08584550427958602,0.038667485549543634,music80_06_ratio-of-steps_46,1510.3642578125,0.0010184727143496275,1.0,0.0010040049673989415,1.0,0.0009927520295605063,1.0
music80_06_ratio-of-steps,47,8.167891502380371,201.40578125,6400,6390,0.4581178427252827,0.08487919479826171,0.03772503916403613,music80_06_ratio-of-steps_47,1489.86669921875,0.001165545778349042,1.0,0.0009534068522043526,1.0,0.0009764237329363823,1.0
music80_06_ratio-of-steps,48,8.160778045654297,203.8853125,6400,6386,0.4605732595819751,0.08363491365310584,0.03643105502145898,music80_06_ratio-of-steps_48,1563.1727294921875,0.0009786649607121944,1.0,0.000998502830043435,1.0,0.0008883766131475568,1.0
music80_06_ratio-of-steps,49,8.150335311889648,204.44671875,6400,6393,0.4655267991177516,0.08230840470539491,0.036205578245325956,music80_06_ratio-of-steps_49,1606.10791015625,0.0008950595511123538,1.0,0.0011392744490876794,1.0,0.0008672932744957507,1.0
music80_06_ratio-of-steps,50,8.14191722869873,207.99090625,32000,31868,0.47047046275641285,0.08178198219355366,0.03534256021756878,music80_06_ratio-of-steps_50,1581.317626953125,0.0009038766729645431,1.0,0.0012258632341399789,1.0,0.0008210817468352616,1.0
music80_06_ratio-of-steps,51,8.13785171508789,210.1275,6400,6390,0.4741670074574214,0.080829516885122,0.03499228748888107,music80_06_ratio-of-steps_51,1461.8922119140625,0.0008571743383072317,1.0,0.0008330126293003559,1.0,0.0007875683950260282,1.0
music80_06_ratio-of-steps,52,8.134360313415527,212.81765625,6400,6389,0.47582892095053436,0.0792172013194457,0.03360946235860994,music80_06_ratio-of-steps_52,1599.1094970703125,0.0007627424201928079,1.0,0.0011019514640793204,1.0,0.0007217267411760986,1.0
music80_06_ratio-of-steps,53,8.136656761169434,214.12515625,6400,6388,0.4798310099079113,0.07909735777547461,0.033277821494359164,music80_06_ratio-of-steps_53,1570.79052734375,0.0013659868855029345,1.0,0.0007149980519898236,1.0,0.0006940350867807865,1.0
music80_06_ratio-of-steps,54,8.146307945251465,214.51703125,6400,6389,0.48507163820807436,0.07787259946165745,0.032432791190591274,music80_06_ratio-of-steps_54,1638.255126953125,0.000675904331728816,1.0,0.0007323407335206866,1.0,0.0006600080523639917,1.0
